11.50,[rc0009][rb0009],[lc0009][lb0009]	
11.60,[rc0009][rb0009],[lc0009][lb0009]	
11.70,[rc000A][rb000A],[lc000A][lb000A]	
11.80,[rc000A][rb000A],[lc000A][lb000A]
11.90,[rc000B][rb000B],[lc000B][lb000B]	
12.00,[rc000B][rb000B],[lc000B][lb000B]	
12.10,[rc000C][rb000C],[lc000C][lb000C]	
12.20,[rc000D][rb000D],[lc000D][lb000D]	
12.30,[rc000D][rb000D],[lc000D][lb000D]	
12.40,[rc000E][rb000E],[lc000E][lb000E]	
12.50,[rc000E][rb000E],[lc000E][lb000E]	
12.60,[rc000F][rb000F],[lc000F][lb000F]	
12.70,[rc0010][rb0010],[lc0010][lb0010]	
12.80,[rc0010][rb0010],[lc0010][lb0010]	
12.90,[rc0011][rb0011],[lc0011][lb0011]	
13.00,[rc0011][rb0011],[lc0011][lb0011]
13.10,[rc0012][rb0012],[lc0012][lb0012]	
13.20,[rc0012][rb0012],[lc0012][lb0012]	
13.30,[rc0013][rb0013],[lc0013][lb0013]	
13.40,[rc0014][rb0014],[lc0014][lb0014]	
13.50,[rc0014][rb0014],[lc0014][lb0014]	
13.60,[rc0015][rb0015],[lc0015][lb0015]	
13.70,[rc0015][rb0015],[lc0015][lb0015]	
13.80,[rc0016][rb0016],[lc0016][lb0016]	
13.90,[rc0016][rb0016],[lc0016][lb0016]	
14.00,[rc0017][rb0017],[lc0017][lb0017]	
14.10,[rc0018][rb0018],[lc0018][lb0018]	
14.20,[rc0018][rb0018],[lc0018][lb0018]	
14.30,[rc0019][rb0019],[lc0019][lb0019]	
14.40,[rc0019][rb0019],[lc0019][lb0019]	
14.50,[rc001A][rb001A],[lc001A][lb001A]
14.60,[rc001B][rb001B],[lc001B][lb001B]	
14.70,[rc001B][rb001B],[lc001B][lb001B]	
14.80,[rc001C][rb001C],[lc001C][lb001C]
14.90,[rc001C][rb001C],[lc001C][lb001C]	
15.00,[rc001D][rb001D],[lc001D][lb001D]	
15.10,[rc001E][rb001E],[lc001E][lb001E]	
15.20,[rc001E][rb001E],[lc001E][lb001E]
15.30,[rc001F][rb001F],[lc001F][lb001F]	
15.40,[rc001F][rb001F],[lc001F][lb001F]	
15.50,[rc0020][rb0020],[lc0020][lb0020]
15.60,[rc0021][rb0021],[lc0021][lb0021]	
15.70,[rc0021][rb0021],[lc0021][lb0021]	
15.80,[rc0022][rb0022],[lc0022][lb0022]
15.90,[rc0022][rb0022],[lc0022][lb0022]	
16.00,[rc0023][rb0023],[lc0023][lb0023]	
16.10,[rc0024][rb0024],[lc0024][lb0024]	
16.20,[rc0024][rb0024],[lc0024][lb0024]	
16.30,[rc0025][rb0025],[lc0025][lb0025]
16.40,[rc0025][rb0025],[lc0025][lb0025]	
16.50,[rc0026][rb0026],[lc0026][lb0026]	
16.60,[rc0027][rb0027],[lc0027][lb0027]
16.70,[rc0027][rb0027],[lc0027][lb0027]	
16.80,[rc0028][rb0028],[lc0028][lb0028]	
16.90,[rc0028][rb0028],[lc0028][lb0028]	
17.00,[rc0029][rb0029],[lc0029][lb0029]
17.10,[rc002A][rb002A],[lc002A][lb002A]	
17.20,[rc002A][rb002A],[lc002A][lb002A]	
17.30,[rc002B][rb002B],[lc002B][lb002B]	
17.40,[rc002B][rb002B],[lc002B][lb002B]	
17.50,[rc002C][rb002C],[lc002C][lb002C]
17.60,[rc002D][rb002D],[lc002D][lb002D]	
17.70,[rc002D][rb002D],[lc002D][lb002D]	
17.80,[rc002E][rb002E],[lc002E][lb002E]
17.90,[rc002F][rb002F],[lc002F][lb002F]	
18.00,[rc002F][rb002F],[lc002F][lb002F]	
18.10,[rc0030][rb0030],[lc0030][lb0030]	
18.20,[rc0030][rb0030],[lc0030][lb0030]
18.30,[rc0031][rb0031],[lc0031][lb0031]	
18.40,[rc0032][rb0032],[lc0032][lb0032]	
18.50,[rc0032][rb0032],[lc0032][lb0032]
18.60,[rc0033][rb0033],[lc0033][lb0033]	
18.70,[rc0034][rb0034],[lc0034][lb0034]
18.80,[rc0034][rb0034],[lc0034][lb0034]	
18.90,[rc0035][rb0035],[lc0035][lb0035]	
